participant_id,content_language,finished_study,study_name,aesthetics,thinking,colorage,data_bored,data_compare,data_fun,data_science,data_selfLearn,bored_median_colorage,compare_median_colorage,fun_median_colorage,science_median_colorage,selfLearn_median_colorage,data_wasBoring,wasBoring_reversed,data_wasEnjoyable,data_wasFun,data_wasInteresting,boring_lowExtreme,boring_highExtreme,enjoyable_lowExtreme,enjoyable_highExtreme,fun_lowExtreme,fun_highExtreme,interesting_lowExtreme,interesting_highExtreme,totalExtremes,variance_noReverse,std_imi,isStdImi0,variance_reverse,AttentionCheck,AttentionCheck_binary,IntrinsicMotivation,data_comments,satisficing,average_ABS_rating_diff,average_rating_diff,num_correctAns,overall_score,retake,retake 2,age,gender,ip_country,ip_city,multinational,father,mother,education,normal vision,country0,years0,country1,country2,country3,country4,country5,years1,years2,years3,years4,years5,lang0,lang1,lang2,lang3,lang4,lang5,lang6,fluency1,fluency2,fluency3,fluency4,fluency5,fluency6,urban,web_usage,profession,id,cvd,screen,normalvision,time_stamp,ctry6,user_agent,timestamp,timestamp_page_load,timestamp_motivation_1,timestamp_motivation_1_inDays,timestamp_motivation_date,timestamp_motivation_2,elapsedTime,timestamp_demographics,timestamp_lighting1,predicted_age,abs_diff_ages,diff-ages
0,en,1,aesthetics,1,0,0,3,5,5,5,5,0,1,1,1,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,1.269230769,-0.711538462,,,0,first/missing,19,0,,,0,United States Minor Outlying Islands,United States Minor Outlying Islands,college,0,United States Minor Outlying Islands,19,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,11,,,,,,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/05/2016 11:00 AM,,0,0,01/01/1970 12:00:00 AM,0,0,08/05/2016 11:00 AM,,,,
43170,,0,aesthetics,1,0,0,2,5,1,3,4,0,1,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,999,999,,,,first/missing,,,United States,Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/01/2016 4:04 PM,08/01/2016 4:04 PM,0,0,01/01/1970 12:00:00 AM,0,0,,,,,
43175,en,1,aesthetics,1,0,0,4,5,4,5,5,1,1,0,1,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,1.333333333,-0.6,,,0,first/missing,23,1,United States,Madison,0,United States,United States,PhD,0,United States,23,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,6,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/01/2016 8:30 PM,08/01/2016 8:29 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/01/2016 8:30 PM,,,,
43176,en,1,aesthetics,1,0,0,2,3,3,4,4,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.730769231,-0.038461538,,,0,first/missing,34,1,Switzerland,Zurich,1,Poland,Poland,graduate school,0,Switzerland,3,Poland,,,,,24,0,0,0,0,Polish,,,,,,,0,0,0,0,0,0,,3,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/02/2016 3:28 AM,08/02/2016 3:26 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/02/2016 3:29 AM,,,,
43177,en,1,aesthetics,1,0,0,4,1,2,1,2,1,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,1.1,-0.5,,,0,first/missing,26,0,Kenya,,1,France,France,professional school,0,France,24,,,,,,0,0,0,0,0,French,,,,,,,0,0,0,0,0,0,,11,,,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:47.0) Gecko/20100101 Firefox/47.0,08/02/2016 5:49 AM,08/02/2016 5:49 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/02/2016 5:50 AM,,,,
43179,en,1,aesthetics,1,0,0,3,3,5,4,5,0,0,1,0,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.2,-0.133333333,,,0,first/missing,21,1,Philippines,Paranaque City,0,Philippines,Philippines,college,0,Philippines,21,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,6,,,,,,,,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53",08/02/2016 10:18 AM,08/02/2016 10:17 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/02/2016 10:19 AM,,,,
43182,en,1,aesthetics,1,0,0,4,4,5,5,4,1,1,1,1,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.714285714,0.357142857,,,0,first/missing,32,1,Canada,Montreal,0,Canada,Canada,PhD,0,Canada,32,,,,,,0,0,0,0,0,French,,,,,,,0,0,0,0,0,0,,2,,,,,,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/02/2016 3:30 PM,08/02/2016 3:30 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/02/2016 3:31 PM,,,,
43183,en,1,aesthetics,1,0,0,2,5,5,5,5,0,1,1,1,1,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.933333333,-0.533333333,,,0,first/missing,22,1,United States,San Francisco,0,United States Minor Outlying Islands,United States,college,0,United States Minor Outlying Islands,22,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,10,,,,,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36",08/02/2016 9:35 PM,08/02/2016 9:01 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/02/2016 9:35 PM,,,,
43184,en,1,aesthetics,1,0,0,5,1,5,1,1,1,0,1,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,1.071428571,-0.357142857,,,0,first/missing,25,0,Canada,Waterloo,0,India,India,college,0,Canada,23,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,11,,,,,,,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",08/02/2016 9:13 PM,08/02/2016 9:12 PM,0,0,01/01/1970 12:00:00 AM,0,0,08/02/2016 9:13 PM,,,,
43185,en,1,aesthetics,1,0,0,3,4,3,4,4,0,1,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,0,,,2,,,0.533333333,0.066666667,,,0,first/missing,58,0,United Kingdom,Godalming,0,United Kingdom,United Kingdom,college,0,United Kingdom,58,,,,,,0,0,0,0,0,English,,,,,,,0,0,0,0,0,0,,4,,,,,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36",08/03/2016 1:37 AM,08/03/2016 1:36 AM,0,0,01/01/1970 12:00:00 AM,0,0,08/03/2016 1:38 AM,,,,
