,ID,Condition,Score
0,1,AR,4
1,1,TV,4
2,2,AR,4
3,2,TV,4
4,3,AR,4
5,3,TV,4
6,4,AR,5
7,4,TV,4
8,5,AR,4
9,5,TV,4
10,6,AR,3
11,6,TV,2
12,7,AR,4
13,7,TV,4
14,8,AR,4
15,8,TV,4
16,9,AR,4
17,9,TV,4
18,10,AR,4
19,10,TV,4
20,11,AR,3
21,11,TV,3
22,12,AR,5
23,12,TV,5
24,13,AR,4
25,13,TV,3
26,14,AR,3
27,14,TV,1
28,15,AR,5
29,15,TV,1
30,16,AR,5
31,16,TV,4
32,17,AR,5
33,17,TV,4
34,18,AR,5
35,18,TV,4
36,19,AR,5
37,19,TV,4
38,20,AR,3
39,20,TV,3
40,21,AR,4
41,21,TV,4
42,22,AR,4
43,22,TV,3
44,23,AR,3
45,23,TV,3
46,24,AR,5
47,24,TV,5
48,25,AR,3
49,25,TV,3
50,26,AR,5
51,26,TV,4
